21 November 2007 12:00:13 PM

MD
  C++ version

  A molecular dynamics program, which has been
  modified to include OpenMP directives.
  The OpenMP directives allow the program to be
  run in parallel.


  The number of processors available:
  OMP_GET_NUM_PROCS () =    1

  The number of threads available:
  OMP_GET_NUM_THREADS () =  1

  This is processor 0

  Initialize positions, velocities, and accelerations.

  Compute initial forces and energies.

  Initial Total energy = 124406

      Step      Pot Energy      Kin Energy     (P+K-E0)/E0

       485          124405         1.96577    -2.08199e-10
       486          124405         1.97394    -2.09597e-10
       487          124405         1.98212       -2.11e-10
       488          124404         1.99032    -2.12405e-10
       489          124404         1.99854    -2.13824e-10
       490          124404         2.00678    -2.15241e-10
       491          124404         2.01503     -2.1667e-10
       492          124404          2.0233      -2.181e-10
       493          124404         2.03159     -2.1954e-10
       494          124404          2.0399    -2.20982e-10
       495          124404         2.04822     -2.2243e-10
       496          124404         2.05656    -2.23885e-10
       497          124404         2.06491    -2.25346e-10
       498          124404         2.07329    -2.26812e-10
       499          124404         2.08168    -2.28286e-10
       500          124404         2.09008    -2.29763e-10
       501          124404         2.09851     -2.3125e-10
       502          124404         2.10695    -2.32738e-10
       503          124404         2.11541    -2.34239e-10
       504          124404         2.12389    -2.35738e-10
       505          124404         2.13238    -2.37244e-10
       506          124404         2.14089     -2.3876e-10
       507          124404         2.14942     -2.4028e-10
       508          124404         2.15796    -2.41805e-10
       509          124404         2.16652    -2.43339e-10
       510          124404          2.1751    -2.44877e-10
       511          124404          2.1837    -2.46421e-10
       512          124404         2.19231    -2.47968e-10
       513          124404         2.20094    -2.49527e-10
       514          124404         2.20959    -2.51088e-10
       515          124404         2.21826    -2.52661e-10
       516          124404         2.22694    -2.54234e-10
       517          124404         2.23564    -2.55814e-10
       518          124404         2.24435      -2.574e-10
       519          124404         2.25309     -2.5899e-10
       520          124404         2.26184    -2.60591e-10
       521          124404          2.2706    -2.62196e-10
       522          124404         2.27939    -2.63807e-10
       523          124404         2.28819    -2.65425e-10
       524          124404         2.29701    -2.67047e-10
       525          124404         2.30585     -2.6868e-10
       526          124404          2.3147    -2.70311e-10
       527          124404         2.32357    -2.71952e-10
       528          124404         2.33246    -2.73603e-10
       529          124404         2.34136    -2.75259e-10
       530          124404         2.35029    -2.76919e-10
       531          124404         2.35923    -2.78586e-10
       532          124404         2.36818     -2.8026e-10
       533          124404         2.37716    -2.81937e-10
       534          124404         2.38615    -2.83623e-10
       535          124404         2.39515    -2.85312e-10
       536          124404         2.40418    -2.87014e-10
       537          124404         2.41322    -2.88715e-10
       538          124404         2.42228    -2.90429e-10
       539          124404         2.43136    -2.92143e-10
       540          124404         2.44045    -2.93871e-10
       541          124404         2.44956    -2.95598e-10
       542          124404         2.45869    -2.97336e-10
       543          124404         2.46784    -2.99075e-10
       544          124404           2.477    -3.00825e-10
       545          124404         2.48618    -3.02579e-10
       546          124404         2.49538    -3.04345e-10
       547          124404         2.50459    -3.06113e-10
       548          124404         2.51382    -3.07886e-10
       549          124404         2.52307    -3.09666e-10
       550          124404         2.53234    -3.11455e-10
       551          124404         2.54162    -3.13249e-10
       552          124404         2.55092    -3.15051e-10
       553          124404         2.56024    -3.16852e-10
       554          124404         2.56957    -3.18668e-10
       555          124404         2.57893    -3.20487e-10
       556          124404          2.5883    -3.22315e-10
       557          124404         2.59768     -3.2415e-10
       558          124404         2.60709    -3.25987e-10
       559          124404         2.61651    -3.27832e-10
       560          124404         2.62594    -3.29685e-10
       561          124404          2.6354    -3.31544e-10
       562          124404         2.64487     -3.3341e-10
       563          124404         2.65436    -3.35283e-10
       564          124404         2.66387    -3.37164e-10
       565          124404         2.67339     -3.3905e-10
       566          124404         2.68294    -3.40939e-10
       567          124404         2.69249    -3.42841e-10
       568          124404         2.70207    -3.44745e-10
       569          124404         2.71166    -3.46658e-10
       570          124404         2.72127    -3.48576e-10
       571          124404          2.7309    -3.50503e-10
       572          124404         2.74055    -3.52434e-10
       573          124404         2.75021    -3.54372e-10
       574          124404         2.75989    -3.56319e-10
       575          124404         2.76958     -3.5827e-10
       576          124404          2.7793    -3.60234e-10
       577          124404         2.78903    -3.62197e-10
       578          124404         2.79878    -3.64168e-10
       579          124404         2.80854    -3.66151e-10
       580          124404         2.81833    -3.68135e-10
       581          124404         2.82813    -3.70129e-10
       582          124404         2.83794     -3.7213e-10
       583          124404         2.84778    -3.74133e-10
       584          124404         2.85763    -3.76148e-10
       585          124404          2.8675    -3.78173e-10
       586          124404         2.87739    -3.80197e-10
       587          124404         2.88729    -3.82236e-10
       588          124404         2.89721    -3.84276e-10
       589          124404         2.90715    -3.86321e-10
       590          124404         2.91711    -3.88374e-10
       591          124404         2.92708    -3.90435e-10
       592          124404         2.93707    -3.92505e-10
       593          124404         2.94708    -3.94582e-10
       594          124404          2.9571    -3.96664e-10
       595          124404         2.96714    -3.98751e-10
       596          124404          2.9772    -4.00852e-10
       597          124403         2.98728    -4.02955e-10
       598          124403         2.99737    -4.05065e-10
       599          124403         3.00748    -4.07179e-10
       600          124403         3.01761    -4.09307e-10
       601          124403         3.02776    -4.11437e-10
       602          124403         3.03792    -4.13578e-10
       603          124403          3.0481    -4.15721e-10
       604          124403          3.0583    -4.17878e-10
       605          124403         3.06851    -4.20037e-10
       606          124403         3.07874    -4.22197e-10
       607          124403         3.08899    -4.24361e-10
       608          124403         3.09926    -4.26536e-10
       609          124403         3.10954    -4.28716e-10
       610          124403         3.11985    -4.30902e-10
       611          124403         3.13016    -4.33094e-10
       612          124403          3.1405    -4.35294e-10
       613          124403         3.15085    -4.37502e-10
